"n","{'v', 's', 'a', 'n'}",10
"n","{'v', 'n'}",6
"n","{'n'}",8
"n","{'n'}",8
"n","{'n'}",8
"n","{'v', 's', 'a', 'n'}",8
"n","{'n'}",3
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'n'}",1
"n","{'v', 'n'}",11
"n","{'n'}",10
"n","{'v', 's', 'n'}",8
"n","{'v', 's', 'n'}",8
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",8
"n","{'v', 's', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",1
"n","{'n'}",10
"n","{'n'}",10
"n","{'n'}",6
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 's', 'a', 'n'}",0
"n","{'v', 's', 'a', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 's', 'a', 'n'}",8
"n","{'v', 's', 'a', 'n'}",8
"n","{'v', 'n'}",8
"n","{'v', 'n'}",8
"n","{'n'}",1
"n","{'v', 'n'}",3
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 's', 'a', 'n'}",0
"n","{'n'}",1
"n","{'n'}",8
"n","{'n'}",8
"n","{'v', 's', 'a', 'n'}",10
"n","{'n'}",2
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v', 's', 'a', 'n'}",0
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'v', 'n'}",11
"n","{'v', 's', 'a', 'n'}",0
"n","{'v', 's', 'a', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'v', 's', 'a', 'n'}",8
"n","{'v', 's', 'a', 'n'}",8
"n","{'v', 's', 'a', 'n'}",8
"n","{'v', 'n'}",0
"n","{'v', 'n'}",8
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'a', 'r', 'n', 'v', 's'}",10
"n","{'a', 'r', 'n', 'v', 's'}",8
"n","{'v', 'n'}",6
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'v', 's', 'a', 'n'}",0
"n","{'v'}",0
"n","{'a', 'r', 'n', 'v', 's'}",8
"n","{'v', 'n'}",8
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'s', 'n'}",11
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",7
"n","{'n'}",7
"n","{'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",7
"n","{'n'}",7
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'a', 'r', 'n', 'v', 's'}",10
"n","{'a', 'r', 'n', 'v', 's'}",8
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'v', 'n'}",10
"n","{'n'}",8
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'n'}",10
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",8
"n","{'n'}",1
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'v', 's', 'a'}",0
"n","{'n'}",11
"n","{'n'}",11
"n","{'n'}",11
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'v', 'n'}",2
"n","{'v', 'n'}",0
"n","{'s', 'a', 'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",8
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",8
"n","{'v'}",0
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'v'}",0
"n","{'n'}",10
"n","{'v'}",0
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 's', 'a', 'n'}",10
"n","{'v'}",0
"n","{'v', 's', 'a', 'n'}",10
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v'}",0
"n","{'n'}",10
"n","{'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'n'}",10
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",8
"n","{'v'}",0
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'a', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'s', 'a', 'n'}",10
"n","{'v', 'n'}",10
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",6
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'n'}",10
"n","{'n'}",10
"n","{'v'}",0
"n","{'n'}",10
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'s', 'a', 'n'}",10
"n","{'v', 'n'}",0
"n","{'s', 'a', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 's', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'v'}",0
"n","{'n'}",7
"n","{'v', 'n'}",4
"n","{'v', 'n'}",0
"n","{'n'}",4
"n","{'v', 'n'}",0
"n","{'v', 'n'}",1
"n","{'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 's', 'a', 'n'}",11
"n","{'v'}",0
"n","{'n'}",10
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'n'}",8
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v'}",0
"n","{'n'}",10
"n","{'v'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",8
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'s', 'n'}",10
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v'}",0
"n","{'n'}",10
"n","{'v', 'n'}",6
"n","{'v', 'n'}",0
"n","{'a', 'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",8
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'v', 's', 'a'}",0
"n","{'s', 'a', 'n'}",10
"n","{'v', 'n'}",6
"n","{'v', 'n'}",0
"n","{'a', 'r', 'n', 'v', 's'}",8
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v'}",0
"n","{'n'}",6
"n","{'v', 'n'}",1
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",2
"n","{'n'}",8
"n","{'n'}",6
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 's', 'a', 'n'}",0
"n","{'a', 'r', 'n', 'v', 's'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",11
"n","{'v', 'n'}",0
"n","{'v', 's', 'n'}",8
"n","{'v'}",0
"n","{'v', 's', 'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'a', 'r', 'n', 'v', 's'}",10
"n","{'v', 'n'}",4
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",4
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",1
"n","{'v', 'n'}",4
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",1
"n","{'v'}",0
"n","{'n'}",10
"n","{'v', 'n'}",10
"n","{'v'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 's', 'n'}",10
"n","{'v'}",0
"n","{'v', 's', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'v', 'n'}",0
"n","{'n'}",5
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",5
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'n'}",1
"n","{'n'}",5
"n","{'n'}",1
"n","{'v', 'n'}",0
"n","{'v', 'n'}",11
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",5
"n","{'n'}",6
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",7
"n","{'n'}",1
"n","{'v', 's', 'a', 'n'}",0
"n","{'v', 'n'}",11
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'v', 'n'}",0
"n","{'n'}",6
"n","{'v', 'n'}",0
"n","{'v', 'n'}",6
"n","{'v', 'n'}",1
"n","{'n'}",11
"n","{'v'}",0
"n","{'s', 'a', 'n'}",10
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'v', 'n'}",0
"n","{'n'}",11
"n","{'v', 's', 'n'}",0
"n","{'n'}",5
"n","{'a', 'r'}",8
"n","{'v', 's', 'a', 'r'}",8
"n","{'v', 'n'}",0
"n","{'v', 'n'}",5
"n","{'v', 's', 'n'}",0
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",5
"n","{'n'}",7
"n","{'v'}",0
"n","{'n'}",8
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",11
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",1
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",10
"n","{'n'}",2
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",1
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'n'}",5
"n","{'v', 'n'}",0
"n","{'n'}",7
"n","{'v', 'n'}",6
"n","{'v', 'n'}",0
"n","{'v', 'n'}",7
"n","{'v', 'n'}",6
"n","{'v', 'n'}",0
"n","{'v', 'n'}",6
"n","{'n'}",11
"n","{'v'}",0
"n","{'s', 'n'}",11
"n","{'v'}",0
"n","{'s', 'n'}",11
"n","{'v'}",0
"n","{'v', 'n'}",11
"n","{'v', 'n'}",11
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 's', 'n'}",0
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'v', 'n'}",0
"n","{'v', 'n'}",8
"n","{'n'}",7
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v', 's', 'n'}",0
"n","{'v', 'n'}",0
"n","{'v'}",0
"n","{'n'}",11
"n","{'n'}",11
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'s', 'a', 'r', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",7
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",7
"n","{'v', 'n'}",7
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",7
"n","{'v', 'n'}",10
"n","{'s', 'a', 'r', 'n'}",10
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'v', 'n'}",10
"n","{'s', 'a', 'r', 'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",1
"n","{'v'}",0
"n","{'n'}",11
"n","{'n'}",5
"n","{'v'}",0
"n","{'s', 'a', 'n'}",10
"n","{'v'}",0
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'n'}",10
"n","{'v', 'n'}",0
"n","{'v', 'n'}",10
"n","{'v', 'n'}",0
